,,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,
ONS Code,Authority,Region,,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB) ,PV statement rejected (Both) ,PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E08000016,Barnsley,YH,,"180,365","102,583",56.88,"101,690",56.38,"103,748",57.52,,78,80,1,734,0,893,,"31,622","26,717",50,78,"26,631",327,402,"25,552","1,079",,88,35,205,141,191,71,286,64,,207,19,175,151,11:00,14:00,
E08000025,Birmingham,WM,,"735,109","427,654",58.18,"425,315",57.86,"430,298",58.54,,7,515,105,"1,712",0,"2,339",,"67,089","55,867",430,242,"54,107",516,810,"53,223","1,325",,114,59,343,245,341,227,810,139,,1266,71,378,460,22:00,16:30,
E08000001,Bolton,NW,,"202,844","127,410",62.81,"126,774",62.50,"128,197",63.20,,58,163,6,409,0,636,,"36,721","32,382",135,120,"32,382",612,175,"31,595",787,,109,11,109,62,31,82,33,364,,411,17,608,143,10:00,14:00,
E08000032,Bradford,YH,,"340,010","221,304",65.09,"220,092",64.73,"223,638",65.77,,1,317,7,887,0,"1,212",,"58,254","50,922",205,105,"50,828",426,"1,495","48,588","2,262",,90,48,288,740,527,224,115,220,,852,49,403,243,,,
E08000002,Bury,NW,,"143,622","93,428",65.05,"93,068",64.80,"94,436",65.75,,0,59,9,264,28,360,,"30,367","26,758",82,94,"26,535",605,217,"25,750",0,,53,144,56,63,10,43,40,135,,304,13,132,125,22:00,15:30,
E08000033,Calderdale,YH,,"150,001","97,720",65.15,"96,728",64.48,"99,125",66.08,,0,85,2,905,0,992,,"34,287","30,134",154,76,"30,134",130,578,"28,729","1,405",,30,27,74,316,251,25,711,48,,308,18,89,119,14:00,17:00,
E08000026,Coventry,WM,,"230,848","134,145",58.11,"133,506",57.83,"134,663",58.33,,1,149,0,489,0,639,,"23,707","19,751",176,73,"18,746",98,429,"19,233",401,,49,25,29,190,173,66,0,0,,364,20,110,146,,,
E08000017,Doncaster,YH,,"216,752","124,084",57.25,"123,268",56.87,"125,055",57.69,,0,162,2,652,0,816,,"60,614","49,030",119,175,"44,102",431,541,"48,059",0,,70,56,305,80,304,157,0,0,,237,1,173,173,,,
E08000027,Dudley,WM,,"240,310","155,214",64.59,"154,460",64.28,"156,185",64.99,,1,67,0,686,0,754,,"31,211","27,385",72,67,"27,384",124,282,"26,414",624,,44,32,48,65,160,57,0,0,,483,7,143,221,,,
E08000037,Gateshead,NE,,"146,803","90,779",61.84,"90,480",61.63,"92,306",62.88,,0,20,2,277,0,299,,"48,375","40,816",360,89,"40,816",410,678,"39,289","1,501",,71,55,284,212,269,197,195,149,,159,9,219,103,03:45,06:00,
E08000034,Kirklees,YH,,"310,990","202,974",65.27,"201,746",64.87,"206,023",66.25,,0,183,12,968,0,"1,228",,"52,842","46,973",182,191,"44,790",211,655,"43,924",869,,64,86,61,446,144,65,64,62,,795,34,293,192,16:00,20:00,
E08000011,Knowsley,NW,,"101,686","65,034",63.96,"64,347",63.28,"65,292",64.21,,0,79,5,600,3,687,,"16,150","13,455",14,23,"13,455",88,171,"13,197",258,,1,1,1,3,3,1,4,0,,18,2,0,5,10:30,14:25,
E08000035,Leeds,YH,,"556,358","358,678",64.47,"356,903",64.15,"365,817",65.75,,10,249,11,"1,505",0,"1,775",,"100,913","86,290",216,234,"86,299",0,"1,000","79,151",0,,106,38,54,430,170,195,126,1285,,231,159,137,357,14:00,19:30,
E08000012,Liverpool,NW,,"321,560","205,933",64.04,"205,041",63.76,"206,767",64.30,,0,169,5,717,0,892,,"47,843","40,198",99,62,"40,186",346,460,"39,364",836,,83,105,159,108,240,114,12,32,,579,21,78,199,10:00,12:45,
E08000003,Manchester,NW,,"363,298","200,463",55.18,"198,999",54.78,"202,951",55.86,,146,154,8,"1,152",4,"1,464",,"57,982","46,462",258,410,"46,464",411,"2,076","43,974","2,487",,211,32,164,1094,750,236,0,0,,516,,229,243,22:00,17:00,
E08000021,Newcastle upon Tyne,NE,,"195,271","120,362",61.64,"119,984",61.44,"122,273",62.62,,16,61,11,290,0,378,,"68,914","59,195",124,178,"58,795",0,"1,404","57,284","1,503",,,,,204,448,752,25,131,,94,22,124,126,12:55,04:20,
E08000022,North Tyneside,NE,,"157,913","99,854",63.23,"99,421",62.96,"100,939",63.92,,2,51,1,379,0,433,,"36,740","32,867",29,16,"32,867",356,457,"31,782","1,092",,7,18,333,82,293,81,163,96,,356,24,141,132,05:30,07:00,
E08000004,Oldham,NW,,"161,081","97,766",60.69,"97,274",60.39,"98,799",61.33,,11,121,3,358,0,492,,"22,440","19,266",83,68,"19,266",68,559,"18,233",473,,10,4,9,175,261,104,31,89,,367,0,40,121,10:00,11:40,
E08000005,Rochdale,NW,,"160,308","94,734",59.10,"94,326",58.84,"95,318",59.46,,0,96,5,294,13,408,,"23,797","19,079",31,59,"18,910",43,374,"18,495",169,,27,11,5,140,125,96,17,145,,333,11,51,130,13:00,15:00,
E08000018,Rotherham,YH,,"197,761","119,729",60.54,"119,043",60.20,"121,439",61.41,,0,72,5,606,3,686,,"50,411","43,659",52,41,"43,669",395,575,"41,949","1,658",,78,39,280,105,376,94,567,119,,241,15,120,165,12:00,15:15,
E08000006,Salford,NW,,"170,770","96,351",56.42,"95,787",56.09,"96,429",56.47,,6,57,1,500,0,564,,"37,228","28,764","1,169",48,"28,764",48,34,"28,686",120,,52,8,16,7,12,4,34,88,,102,15,328,143,10:00,05:00,
E08000028,Sandwell,WM,,"229,561","129,410",56.37,"128,753",56.09,"130,005",56.63,,30,93,22,512,0,657,,"23,801","19,326",144,86,"19,326",152,312,"18,731",528,,38,34,80,88,179,45,0,0,,268,6,196,155,14:00,16:00,
E08000014,Sefton,NW,,"207,290","139,029",67.07,"137,929",66.54,"139,753",67.42,,0,97,0,"1,003",0,"1,100",,"32,475","27,923",0,12,"27,499",273,516,"27,199",3,,,,,155,158,203,0,0,,586,35,104,132,,,
E08000019,Sheffield,YH,,"408,823","253,935",62.11,"252,971",61.88,"254,811",62.33,,0,155,11,798,0,964,,"78,554","66,709",169,313,"66,609",514,269,"65,833",782,,113,20,381,127,56,85,3,1,,785,77,177,207,,,
E08000029,Solihull,WM,,"161,025","107,390",66.69,"106,767",66.30,"108,193",67.19,,0,67,1,555,0,623,,"23,594","20,714",108,81,"20,708",15,232,"19,911",247,,10,2,3,50,97,85,0,0,,446,6,77,99,13:00,15:00,
E08000023,South Tyneside,NE,,"114,701","67,437",58.79,"67,042",58.45,"68,179",59.44,,19,19,3,354,0,395,,"38,116","31,099",47,54,"31,099",416,522,"30,357","1,470",,97,103,217,277,167,78,332,124,,192,9,138,105,02:00,04:00,
E08000013,St Helens,NW,,"137,349","84,311",61.38,"83,994",61.15,"85,045",61.92,,1,32,1,283,0,317,,"28,425","24,960",26,43,"19,713",117,479,"24,226",426,,48,11,58,62,179,38,8,22,,156,14,76,88,13:00,15:00,
E08000007,Stockport,NW,,"223,438","149,281",66.81,"148,708",66.55,"150,847",67.51,,97,67,3,406,0,573,,"41,635","36,441",150,177,"33,427",459,672,"34,875",674,,5,1,4,203,196,250,5,30,,602,32,217,170,11:00,15:30,
E08000024,Sunderland,NE,,"210,594","116,631",55.38,"116,048",55.11,"119,544",56.77,,2,43,4,534,0,583,,"87,505","68,939",127,320,"68,939",209,"1,135","66,026","2,597",,49,27,133,164,553,418,1133,382,,109,5,167,121,22:00,01:17,
E08000008,Tameside,NW,,"171,738","97,603",56.83,"96,618",56.26,"98,365",57.28,,2,78,184,721,0,985,,"35,894","28,878",236,394,"28,844",492,300,"28,116",0,,128,25,91,291,260,19,93,345,,187,12,93,147,01:50,07:00,
E08000009,Trafford,NW,,"166,321","114,304",68.72,"113,623",68.32,"116,736",70.19,,0,39,1,641,0,681,,"47,336","40,951",194,100,"40,951",391,924,"38,519","1,335",,80,82,73,621,205,98,195,54,,352,24,397,109,06:00,07:30,
E08000036,Wakefield,YH,,"251,530","144,691",57.52,"143,678",57.12,"147,028",58.45,,0,79,18,916,0,"1,013",,"42,549","36,418",145,71,"36,638",62,449,"34,081","1,595",,29,13,20,173,230,21,1116,444,,467,19,213,141,13:00,17:00,
E08000030,Walsall,WM,,"195,651","119,089",60.87,"118,181",60.40,"119,448",61.05,,29,154,21,704,0,908,,"24,805","19,968",57,99,"19,968",132,98,"19,609",349,,42,49,7,30,32,24,378,46,,401,17,136,137,14:00,16:12,
E08000010,Wigan,NW,,"239,412","141,992",59.31,"141,249",59.00,"144,633",60.41,,0,63,6,670,0,743,,"44,693","37,718",143,0,0,0,"1,194","34,970","2,772",,0,0,0,515,157,522,0,0,,308,0,140,163,12:30,15:00,
