,,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,
ONS code,Authority,Ward Name,,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both),Ballot paper not returned one figure for each authority,Postal voting statement unreturned one figure for each authority,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05000976,Barnsley,Central,,"8,403","4,344",51.70,"4,285",50.99,"4,396",52.31,,0,5,0,54,,59,,"1,306","1,121",5,0,"1,117",9,14,"1,069",48,,88,35,205,141,191,71,286,64,,207,19,175,151,11:00,Between 12:00 & 14:00,
E05000977,Barnsley,Cudworth,,"8,338","4,434",53.18,"4,418",52.99,"4,481",53.74,,0,0,0,16,,16,,"1,276","1,088",0,1,"1,082",17,12,"1,041",41,,,,,,,,,,,,,,,,,
E05000978,Barnsley,Darfield,,"7,968","4,493",56.39,"4,468",56.07,"4,531",56.86,,0,3,1,21,,25,,"1,389","1,168",0,2,"1,166",8,15,"1,130",36,,,,,,,,,,,,,,,,,
E05000979,Barnsley,Darton East,,"8,491","5,118",60.28,"5,075",59.77,"5,177",60.97,,0,10,0,33,,43,,"1,604","1,394",6,4,"1,388",16,23,"1,335",53,,,,,,,,,,,,,,,,,
E05000980,Barnsley,Darton West,,"8,276","5,306",64.11,"5,246",63.39,"5,343",64.56,,0,7,0,53,,60,,"1,568","1,332",2,6,"1,332",8,7,"1,295",37,,,,,,,,,,,,,,,,,
E05000981,Barnsley,Dearne North,,"8,003","4,087",51.07,"4,064",50.78,"4,131",51.62,,0,2,0,21,,23,,"1,225","1,001",0,2,997,19,17,957,40,,,,,,,,,,,,,,,,,
E05000982,Barnsley,Dearne South,,"8,887","4,753",53.48,"4,654",52.37,"4,802",54.03,,0,8,0,91,,99,,"1,624","1,248",2,10,"1,246",22,24,"1,199",47,,,,,,,,,,,,,,,,,
E05000983,Barnsley,Dodworth,,"8,276","5,303",64.08,"5,262",63.58,"5,346",64.60,,0,4,0,37,,41,,"1,656","1,415",2,7,"1,411",23,12,"1,372",39,,,,,,,,,,,,,,,,,
E05000984,Barnsley,Hoyland Milton,,"9,266","5,364",57.89,"5,334",57.57,"5,425",58.55,,0,5,0,25,,30,,"1,686","1,444",2,1,"1,442",22,21,"1,383",59,,,,,,,,,,,,,,,,,
E05000985,Barnsley,Kingstone,,"7,949","4,019",50.56,"4,003",50.36,"4,072",51.23,,0,0,0,16,,16,,"1,166",985,2,4,977,8,27,932,45,,,,,,,,,,,,,,,,,
E05000986,Barnsley,Monk Bretton,,"8,289","4,480",54.05,"4,373",52.76,"4,552",54.92,,0,1,0,106,,107,,"1,384","1,187",1,2,"1,184",15,18,"1,115",69,,,,,,,,,,,,,,,,,
E05000987,Barnsley,North East,,"10,212","5,639",55.22,"5,597",54.81,"5,709",55.90,,0,8,0,34,,42,,"1,582","1,331",4,7,"1,327",14,30,"1,261",66,,,,,,,,,,,,,,,,,
E05000988,Barnsley,Old Town,,"8,527","5,028",58.97,"4,977",58.37,"5,101",59.82,,0,4,0,47,,51,,"1,621","1,400",0,4,"1,395",9,24,"1,327",68,,,,,,,,,,,,,,,,,
E05000989,Barnsley,Penistone East,,"9,342","6,597",70.62,"6,548",70.09,"6,634",71.01,,0,3,0,46,,49,,"1,938","1,609",2,4,"1,607",18,15,"1,572",35,,,,,,,,,,,,,,,,,
E05000990,Barnsley,Penistone West,,"9,715","6,499",66.90,"6,462",66.52,"6,573",67.66,,35,2,0,0,,37,,"1,857","1,572",10,1,"1,561",34,20,"1,498",63,,,,,,,,,,,,,,,,,
E05000991,Barnsley,Rockingham,,"8,648","5,119",59.19,"5,080",58.74,"5,196",60.08,,0,4,0,35,,39,,"1,635","1,407",4,9,"1,402",18,24,"1,330",72,,,,,,,,,,,,,,,,,
E05000992,Barnsley,Royston,,"8,221","4,641",56.45,"4,614",56.12,"4,682",56.95,,0,0,0,27,,27,,"1,457","1,249",3,7,"1,248",11,12,"1,208",40,,,,,,,,,,,,,,,,,
E05000993,Barnsley,St. Helens,,"7,891","3,809",48.27,"3,780",47.90,"3,871",49.06,,0,1,0,28,,29,,"1,220","1,037",1,0,"1,034",11,21,975,59,,,,,,,,,,,,,,,,,
E05000994,Barnsley,Stairfoot,,"9,043","4,460",49.32,"4,411",48.78,"4,530",50.09,,0,5,0,44,,49,,"1,628","1,353",2,1,"1,348",18,23,"1,283",65,,,,,,,,,,,,,,,,,
E05000995,Barnsley,Wombwell,,"9,108","4,911",53.92,"4,878",53.56,"4,973",54.60,,27,6,0,0,,33,,"1,601","1,377",1,3,"1,375",17,28,"1,315",60,,,,,,,,,,,,,,,,,
E05000996,Barnsley,Worsborough,,"7,512","4,179",55.63,"4,161",55.39,"4,223",56.22,,16,2,0,0,,18,,"1,199",999,1,3,992,10,15,955,37,,,,,,,,,,,,,,,,,
E05001178,Birmingham,Acocks Green,,"19,598","10,748",54.84,"10,702",54.61,"10,811",55.16,,0,14,0,32,,46,,"1,470","1,219",11,11,"1,185",16,21,"1,156",36,,114,59,343,245,341,227,810,139,,"1,266",71,378,460,22:00,16:30,
E05001179,Birmingham,Aston,,"19,053","10,110",53.06,"10,034",52.66,"10,146",53.25,,0,24,3,49,,76,,"1,567","1,203",18,10,"1,167",11,31,"1,167",42,,,,,,,,,,,,,,,,,
E05001180,Birmingham,Bartley Green,,"17,621","9,777",55.48,"9,754",55.35,"9,830",55.79,,0,1,1,21,,23,,"1,778","1,500",6,4,"1,464",14,12,"1,447",26,,,,,,,,,,,,,,,,,
E05001181,Birmingham,Billesley,,"19,131","10,968",57.33,"10,917",57.06,"11,010",57.55,,0,6,1,44,,51,,"1,599","1,313",8,2,"1,284",11,15,"1,271",26,,,,,,,,,,,,,,,,,
E05001182,Birmingham,Bordesley Green,,"20,421","11,165",54.67,"11,087",54.29,"11,224",54.96,,0,25,0,53,,78,,"1,849","1,398",13,9,"1,350",14,19,"1,339",33,,,,,,,,,,,,,,,,,
E05001183,Birmingham,Bournville,,"19,468","13,323",68.44,"13,281",68.22,"13,371",68.68,,0,7,0,35,,42,,"1,876","1,633",8,9,"1,614",14,20,"1,585",34,,,,,,,,,,,,,,,,,
E05001184,Birmingham,Brandwood,,"18,538","11,676",62.98,"11,631",62.74,"11,750",63.38,,0,7,38,0,,45,,"1,706","1,466",5,2,"1,439",14,38,"1,392",52,,,,,,,,,,,,,,,,,
E05001185,Birmingham,Edgbaston,,"15,573","9,727",62.46,"9,680",62.16,"9,835",63.15,,0,10,1,36,,47,,"1,915","1,715",9,2,"1,635",16,24,"1,607",40,,,,,,,,,,,,,,,,,
