,ename,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,
ONS code,Authority,Region,,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature) ,PV statement rejected (No DoB) ,PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both),Ballot paper not returned ,Postal voting statement unreturned ,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E06000022,Bath & North East Somerset,SW,,"135,552","96,893",71.48,"96,048",70.86,"97,086",71.62,,0,28,1,816,0,845,,"23,149","20,283",81,55,"20,283",80,116,"20,090",737,,50,7,23,74,31,11,356,185,,668,0,77,115,09:00,19:00,
E06000055,Bedford,EA,,"124,849","81,555",65.32,"80,495",64.47,"82,969",66.46,,12,146,0,900,2,"1,060",,"20,627","17,703",29,16,"17,703",406,703,"16,289","1,414",,57,101,271,584,143,93,228,105,,290,13,207,134,,,
E06000008,Blackburn with Darwen,NW,,"100,461","60,653",60.37,"59,864",59.59,"62,442",62.16,,248,49,62,430,0,789,,"20,155","17,645",51,29,"17,395",82,"1,034","15,856","1,375",,44,7,31,684,248,102,149,176,,207,17,102,79,13:00,17:30,
E06000009,Blackpool,NW,,"103,954","60,541",58.24,"60,196",57.91,"61,562",59.22,,0,34,5,301,5,345,,"26,575","22,616",49,82,"22,616",33,333,"21,595",83,,19,0,14,106,83,144,28,28,,149,10,90,97,15:00,23:00,
E06000028,Bournemouth,SW,,"139,637","81,002",58.01,"80,454",57.62,"81,482",58.35,,3,62,2,481,0,548,,"18,714","15,523",39,56,"15,523",33,284,"15,043",163,,26,7,7,154,137,29,18,187,,80,48,83,73,,,
E06000036,Bracknell Forest,SE,,"86,776","57,952",66.78,"57,256",65.98,"58,399",67.30,,0,105,3,588,0,696,,"13,285","12,065",61,52,"12,061",19,33,"11,618",111,,0,0,0,23,21,20,0,32,,255,6,61,55,12:00,16:30,
E06000043,Brighton & Hove,SE,,"211,893","144,684",68.28,"143,993",67.96,"148,058",69.87,,2,69,2,611,6,691,,"38,182","34,372",144,209,"34,372",252,587,"30,998","3,372",,42,17,193,238,243,106,108,538,,"1,074",46,286,128,08/05/2015 14:00,"19:00 08/05/2015 (The count for one ward was adjourned to 11/05/2015, starting at 14:00 and finishing at 17:00)",
E06000023,Bristol,SW,,"234,854","148,066",63.05,"147,217",62.68,"148,737",63.33,,0,100,6,743,0,849,,"33,315","26,390",140,144,0,168,503,"25,719",0,,12,8,148,203,228,72,0,72,,858,14,30,121,10:00,19:30,
E06000056,Central Bedfordshire,EA,,"202,629","135,219",66.73,"133,847",66.06,"136,044",67.14,,0,141,21,"1,210",0,"1,372",,"32,135","26,924",165,125,"26,924",66,205,"26,099",825,,34,11,9,75,110,13,272,281,,579,52,157,173,15:00,12:00,
E06000049,Cheshire East,NW,,"282,623","190,741",67.49,"188,905",66.84,"192,650",68.17,,0,188,17,"1,622",9,"1,836",,"53,965","45,896",182,0,"45,896",484,"1,120","43,987","1,785",,179,124,215,625,365,83,50,141,,917,31,419,284,14:00,16:30,
E06000050,Cheshire West and Chester,NW,,"261,978","178,775",68.24,"177,605",67.79,"179,662",68.58,,13,202,6,802,0,"1,170",,"35,527","25,992",131,240,"25,981",94,371,"25,105",807,,242,111,20,29,8,58,0,0,,"1,009",122,675,229,11:00,,
E06000005,Darlington,NE,,"78,126","48,868",62.55,"48,567",62.16,"50,102",64.13,,0,17,0,284,0,301,,"15,736","14,628",20,28,"13,824",69,186,"13,394",258,,11,15,43,69,55,62,4,22,,184,19,41,63,12:00,14:30,
E06000015,Derby,EM,,"177,443","108,914",61.38,"108,344",61.06,"110,462",62.25,,0,112,6,452,0,570,,"30,126","25,576",195,91,"25,576",81,"1,122","24,028","1,335",,20,14,47,294,580,248,0,0,,371,25,228,86,22:30,03:00,
E06000011,East Riding of Yorkshire,YH,,"257,735","163,727",63.53,"162,050",62.87,"164,916",63.99,,315,276,141,708,0,"1,677",,"30,782","26,236",67,123,"26,236",68,81,"25,047",806,,35,24,9,27,33,18,20,"1,007",,"1,003",67,230,290,16:00,00:30,
E06000006,Halton,NW,,"87,073","54,762",62.89,"54,263",62.32,"54,983",63.15,,0,49,15,435,0,499,,"7,043","5,973",18,6,"5,973",49,47,"5,752",16,,16,15,23,27,23,4,15,8,,228,18,127,75,,,
E06000001,Hartlepool,NE,,"69,947","39,584",56.59,"39,344",56.25,"39,949",57.11,,0,33,2,205,0,240,,"9,972","8,746",10,10,"7,655",13,149,"8,381",278,,6,4,3,104,33,12,0,0,,153,12,116,57,22:00,12:00,
E06000019,Herefordshire ,WM,,"140,205","93,214",66.48,"91,690",65.40,"93,636",66.79,,129,93,125,565,90,"1,524",,"20,752","17,381",94,60,"17,386",24,8,"16,959",421,,14,5,5,2,5,1,146,238,,647,53,53,184,13:00,18:30,
E06000010,Kingston upon Hull,YH,,"161,148","85,141",52.83,"84,698",52.56,"85,817",53.25,,0,45,1,214,0,443,,"14,357","12,230",78,0,0,5,468,"11,554",528,,2,3,0,241,93,134,0,0,,307,11,136,111,14:00,20:30,
E06000016,Leicester,EM,,"230,216","134,928",58.61,"133,359",57.93,"137,643",59.79,,0,320,5,"1,241",3,"1,569",,"30,605","24,990",437,95,"24,990",238,765,"22,275","2,715",,92,55,91,347,371,47,"1,666",46,,311,12,289,120,09:30,14:30,
E06000032,Luton,EA,,"139,870","84,524",60.43,"83,245",59.52,"85,060",60.81,,0,164,2,"1,113",0,"1,279",,"16,870","13,912",67,0,"13,902",50,223,"13,376",503,,32,17,15,241,170,20,168,14,,435,0,14,91,17:00,01:30,
E06000035,Medway ,SE,,"196,033","125,120",63.83,"123,385",62.94,"126,353",64.45,,0,112,0,"1,452",0,"1,735",,"35,898","29,711",119,176,"29,711",80,324,"28,478","1,233",,267,41,16,21,14,9,533,36,,489,70,150,112,11:15,15:45,
E06000002,Middlesbrough,NE,,"97,089","51,561",53.11,"50,883",52.41,"52,040",53.60,,0,58,31,578,11,678,,"12,418","10,018",0,0,0,124,355,"9,539",0,,23,17,84,242,70,43,0,32,,193,8,71,70,,,
E06000042,Milton Keynes,SE,,"185,901","119,437",64.25,"118,632",63.81,"120,405",64.77,,0,59,10,736,0,805,,"28,753","25,624",74,73,"24,426",156,194,"24,656",314,,21,115,23,142,56,0,525,142,,434,30,94,128,,,
E06000012,North East Lincolnshire,YH,,"113,665","68,327",60.11,"67,961",59.79,"68,663",60.41,,0,24,1,341,0,366,,"15,673","13,228",92,56,"13,228",87,317,"12,892",327,,8,8,1,182,107,26,2,6,,52,6,46,96,17:00,20:00,
E06000013,North Lincolnshire,YH,,"130,477","77,734",59.58,"76,997",59.01,"78,435",60.11,,0,54,0,683,0,737,,"25,849","21,662",104,101,"21,662",324,27,"20,961",683,,94,23,29,21,6,0,114,202,,670,195,10,116,09:30,12:05,
E06000024,North Somerset,SW,,"162,959","111,670",68.53,"110,125",67.58,"112,166",68.83,,0,125,0,"1,420",0,"1,545",,"25,481","20,818",0,104,"20,818",2,478,"20,322",478,,1,0,1,104,86,288,173,83,,657,29,112,126,,,
E06000018,Nottingham,EM,,"205,970","116,826",56.72,"114,816",55.74,"119,050",57.80,,15,307,21,"1,641",20,"2,010",,"38,031","31,832",147,215,"31,832",142,539,"29,608","1,613",,57,29,56,208,255,76,833,99,,309,33,85,129,11:00,,
E06000031,Peterborough,EA,,"117,494","68,979",58.71,"68,572",58.36,"70,529",60.03,,125,78,4,200,0,407,,"18,790","16,244",18,49,0,190,"1,119","14,694","1,155",,41,41,108,861,140,118,0,5,,479,10,61,67,05:00,09:00,
E06000026,Plymouth,SW,,"181,527","117,779",64.88,"117,312",64.63,"119,172",65.65,,70,73,13,310,1,467,,"34,242","29,585",78,125,"29,083",168,502,"28,192","1,393",,47,16,110,162,261,79,91,603,,556,15,90,150,11:00,16:30,
E06000029,Poole,SW,,"115,361","74,576",64.65,"74,304",64.41,"75,349",65.32,,0,44,0,228,0,272,,"16,898","14,572",21,40,"14,014",5,220,"13,799",231,,42,5,10,112,57,34,0,157,,435,34,84,78,22:00,18:00,
E06000044,Portsmouth,SE,,"150,164","88,600",59.00,"88,043",58.63,"89,607",59.67,,0,51,1,505,0,557,,"18,627","16,199",44,81,"16,235",15,125,"15,192",314,,5,3,5,50,74,2,24,151,,500,34,45,82,12:00,19:00,
E06000038,Reading,SE,,"108,344","68,991",63.68,"68,666",63.38,"69,314",63.98,,0,46,0,279,0,325,,"18,140","15,113",77,48,"15,113",71,252,"14,790",323,,19,7,40,140,85,25,6,5,,261,19,60,74,10:00,12:30,
E06000003,Redcar and Cleveland,NE,,"102,159","66,060",64.66,"65,266",63.89,"66,626",65.22,,1,92,18,652,31,794,,"17,079","15,142",47,28,"15,142",7,310,"14,576",380,,22,14,103,40,96,44,0,57,,320,16,108,79,10:00,17:30,
E06000017,Rutland,EM,,"24,278","16,142",66.49,"15,753",64.89,"16,401",67.55,,86,9,1,293,0,389,,"3,536","3,050",0,10,"3,011",43,101,"2,791",18,,3,1,29,51,11,6,6,7,,150,13,18,38,10:00,14:30,
E06000039,Slough,SE,,"98,807","51,249",51.87,"50,845",51.46,"51,785",52.41,,0,126,16,262,0,404,,"12,513","9,636",127,63,"9,636",4,150,"9,100",531,,2,20,0,276,108,33,12,81,,139,1,22,44,12:00,15:25,
E06000025,South Gloucestershire,SW,,"209,501","146,203",69.79,"144,085",68.78,"147,373",70.34,,0,190,1,"1,927",0,"2,118",,"38,226","32,981",0,0,"32,681",31,476,"31,810","1,133",,3,5,1,227,202,69,0,0,,581,0,159,149,,,
E06000045,Southampton,SE,,"172,274","102,978",59.78,"102,490",59.49,"103,561",60.11,,0,97,16,375,0,488,,"26,139","22,871",82,66,"22,871",128,217,"22,288",342,,14,95,21,101,82,30,7,35,,392,23,139,95,14:00,18:00,
E06000033,Southend-on-Sea,EA,,"130,118","81,845",62.90,"81,282",62.47,"82,488",63.39,,0,40,21,480,22,563,,"17,734","15,491",52,9,"15,491",231,101,"14,848",643,,25,6,200,9,84,8,269,230,,391,26,94,82,22:15,16:05,
E06000004,Stockton-on-Tees,NE,,"141,987","91,050",64.13,"90,336",63.62,"91,422",64.39,,0,125,9,580,0,714,,"33,329","28,169",104,24,"28,169",225,515,"27,797",0,,31,15,179,66,371,78,0,86,,373,36,77,100,22:00,15:00,
E06000021,Stoke-on-Trent,WM,,"188,437","99,468",52.79,"98,632",52.34,"100,584",53.38,,0,111,0,725,0,836,,"18,386","15,582",0,0,0,35,747,"14,455","1,216",,17,1,17,387,253,107,0,0,,485,1,92,161,,,
E06000030,Swindon,SW,,"160,303","102,439",63.90,"101,941",63.59,"103,142",64.34,,49,52,2,395,0,498,,"29,257","23,967",159,145,"23,957",174,220,"23,264",472,,46,5,127,79,105,38,61,100,,58,28,113,97,00:30,04:10,
E06000020,Telford and Wrekin,WM,,"121,786","77,315",63.48,"76,383",62.72,"78,136",64.16,,8,122,1,801,0,932,,"36,978","31,180",74,28,"31,180",100,559,"30,359",804,,61,36,7,308,244,19,33,0,,298,16,142,82,,,
E06000034,Thurrock,EA,,"95,273","60,219",63.21,"59,998",62.97,"60,785",63.80,,0,21,2,173,25,221,,"14,110","12,047",39,28,"12,045",123,345,"11,481",587,,11,19,88,194,86,26,6,3,,126,3,59,64,14:00,22:15,
E06000027,Torbay,SW,,"105,495","64,865",61.49,"63,840",60.51,"65,881",62.45,,4,50,0,831,140,"1,025",,"17,280","14,825",41,45,"14,825",4,137,"13,809",570,,2,0,2,36,77,24,0,0,,389,0,126,68,12:30,18:20,
E06000007,Warrington,NW,,"147,089","96,476",65.59,"95,573",64.98,"97,174",66.06,,41,36,9,817,0,903,,"26,201","22,756",67,36,0,57,280,"22,058",0,,21,14,22,99,120,61,11,22,,385,25,137,122,12:00,16:30,
E06000037,West Berkshire,SE,,"117,362","83,102",70.81,"82,338",70.16,"83,351",71.02,,23,120,8,613,0,764,,"22,825","19,173",32,395,"19,181",0,257,"18,924",7,,63,37,23,51,26,72,63,41,,516,11,66,135,,,
E06000040,Windsor and Maidenhead,SE,,"105,282","73,357",69.68,"72,761",69.11,"73,692",69.99,,0,14,0,7,48,596,,"15,408","13,482",150,124,"13,459",184,113,"13,147",342,,34,63,16,22,40,122,66,0,,404,31,43,81,14:00,11:30,
E06000041,Wokingham,SE,,"99,726","70,986",71.18,"70,634",70.83,"71,234",71.43,,13,49,2,227,61,352,,"17,799","14,995",43,55,"14,995",140,108,"14,747",248,,38,37,65,23,77,8,44,25,,375,22,112,74,22:00,03:30,
E06000014,York,YH,,"157,306","101,419",64.47,"100,747",64.05,"102,071",64.89,,8,70,6,588,0,672,,"16,779","14,647",32,44,"14,228",688,506,"13,995",44,,26,10,69,147,96,7,1,242,,495,43,28,126,11:30,14:00,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
