,,,,TURNOUT,,,,,,,REJECTED BALLOTS,,,,,,,POSTAL VOTES,,,,,,,,,,,,,,,,,,,AUTHORITY DATA,,,,,,,,,,,,,,
ONS code,Authority,Ward Name,Electorate ,Total number of ballots at count ,Ballot box turnout (inc votes rejected at count),Total number of valid votes counted,Valid vote turnout (all valid votes),Total number of ballots returned by close of poll,Total participation turnout (inc postal votes rejected and votes  rejected at count),,Number of ballot papers rejected or not counted at the count for a) want of official mark,Number of ballot papers rejected at the count for b) voting more than once,Number of ballot papers rejected at the count for c) Writing or mark by which the voter could be identified,Number of ballot papers rejected at the count for d) unmarked or wholly void for uncertainty,Number of ballot papers rejected at the count for e) rejected in part,Total number of ballot papers rejected at the count ,,Number of postal ballot papers issued,Total number of covering envelopes received by RO before the close of poll ,Number of covering envelopes received after close of poll,Number of covering envelopes returned as undelivered ,Number of covering envelopes set aside for verification,Number of postal voting statements rejected following verification -not completed,Number of postal voting statements rejected following verification -personal identifier match,Number of postal votes included in the count,TOTAL marked 'REJECTED',,PV statement rejected (No signature),PV statement rejected (No DoB),PV statement rejected (Both),PV statement rejected (Mismatched signature) ,PV statement rejected (Mismatched DoB) ,PV statement rejected (Mismatched both) ,Ballot paper not returned ,Postal voting statement unreturned ,,Proxies appointed for this election,Emergency proxies  appointed,Waivers were granted for this election,What was the total number of polling stations used?,At what time did counting for ballot papers begin?,At what time did voting for ballot papers end?,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E05001935,Bath & North East Somerset,ABBEY,"4,096","2,660",64.93,"2,637",64.37,"2,666",65.08,,0,2,1,20,0,23,,735,645,2,2,645,5,1,639,22,,50,7,23,74,31,11,356,185,,668,,77,115,08/05/2015 14:00,"19:00 08/05/2015 (The count for one ward was adjourned to 11/05/2015, starting at 14:00 and finishing at 17:00)",,,,,,,,,
E05001936,Bath & North East Somerset,BATHAVON NORTH,"5,769","4,421",76.64,"4,384",76.00,"4,428",76.76,,0,0,0,37,0,37,,"1,168","1,061",1,4,"1,061",1,7,"1,054",30,,,,,,,,,,,,,,,,,,,,,,,,,
E05001937,Bath & North East Somerset,BATHAVON SOUTH,"2,220","1,795",80.87,"1,778",80.10,"1,797",80.96,,0,0,0,17,0,17,,359,326,2,2,326,1,1,324,13,,,,,,,,,,,,,,,,,,,,,,,,,
E05001938,Bath & North East Somerset,BATHAVON WEST,"1,991","1,512",75.92,"1,502",75.42,"1,517",76.17,,0,0,0,10,0,10,,299,258,0,0,258,2,3,253,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05001939,Bath & North East Somerset,BATHWICK,"3,418","2,585",75.62,"2,563",74.98,"2,591",75.80,,0,2,0,20,0,22,,616,542,2,0,542,2,4,536,10,,,,,,,,,,,,,,,,,,,,,,,,,
E05001940,Bath & North East Somerset,CHEW VALLEY NORTH,"1,966","1,536",78.12,"1,521",77.36,"1,541",78.37,,0,0,0,15,0,15,,351,320,2,2,320,2,3,315,11,,,,,,,,,,,,,,,,,,,,,,,,,
E05001941,Bath & North East Somerset,CHEW VALLEY SOUTH,"2,017","1,591",78.90,"1,570",77.86,"1,594",79.05,,0,0,0,21,0,21,,319,288,1,0,288,0,3,285,12,,,,,,,,,,,,,,,,,,,,,,,,,
E05001942,Bath & North East Somerset,CLUTTON,"2,008","1,522",75.82,"1,514",75.42,"1,524",75.92,,0,0,0,8,0,8,,292,241,1,1,241,1,1,239,8,,,,,,,,,,,,,,,,,,,,,,,,,
E05001943,Bath & North East Somerset,COMBE DOWN,"3,997","2,905",72.67,"2,892",72.34,"2,914",72.90,,0,1,0,12,0,13,,687,591,4,3,591,5,4,582,27,,,,,,,,,,,,,,,,,,,,,,,,,
E05001944,Bath & North East Somerset,FARMBOROUGH,"2,096","1,587",75.72,"1,560",74.43,"1,591",75.91,,0,0,0,27,0,27,,364,334,0,0,334,0,4,330,14,,,,,,,,,,,,,,,,,,,,,,,,,
E05001945,Bath & North East Somerset,HIGH LITTLETON,"2,401","1,753",73.01,"1,708",71.14,"1,757",73.18,,0,0,0,45,0,45,,331,294,1,2,294,0,4,290,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001946,Bath & North East Somerset,KEYNSHAM EAST,"4,502","3,517",78.11,"3,484",77.38,"3,524",78.27,,0,0,0,33,0,33,,"1,094",968,3,2,968,2,7,961,34,,,,,,,,,,,,,,,,,,,,,,,,,
E05001947,Bath & North East Somerset,KEYNSHAM NORTH,"4,130","2,824",68.38,"2,801",67.82,"2,830",68.53,,0,0,0,23,0,23,,810,694,4,2,694,1,5,688,21,,,,,,,,,,,,,,,,,,,,,,,,,
E05001948,Bath & North East Somerset,KEYNSHAM SOUTH,"4,032","2,718",67.40,"2,687",66.63,"2,723",67.52,,0,0,0,31,0,31,,794,677,2,3,677,2,3,672,22,,,,,,,,,,,,,,,,,,,,,,,,,
