Press Association ID Number,Constituency Name,Region,Country,Constituency ID,Constituency Type,Election Year,Electorate, Total number of valid votes counted ,,30-50,Above,Active Dem,AD,Alliance,AP,Apni,Atom,AWP,Beer BS,Birthday,BNP,Bournemouth,Bristol,Brit Dem,Brit Ind,C,Campaign,Change,Ch M,Ch P,Christian,Class War,Comm,Comm Brit,Comm Lge,Communist,Community,Consensus,CPA,Croydon,CSA,CSP,Dem Ref,Digital,DP,DUP,Eccentric,Elmo,Eng Dem,EP,FPT,Green,Green Soc,Guildford,Hoi,Hospital,Humanity,IASI,IE,Ind,Ind2,Ind CHC,IPAP,ISWSL,IZB,JACP,JMB,Lab,Lab Co-op,LD,Lib,Lib GB,Lincs Ind,Loony,LP,LU,Magna Carta,Mainstream,Manston,Meb Ker,Nat Lib,ND,NE Party,New IC,NF,NHAP,Northern,Patria,PBP,PC,Peace,PF,Pilgrim,Pirate,Plural,Poole,PPP,PP UK,PSP,Real,Realist,Reality,Rep Soc,Respect,Restore,RFAC,Rochdale,Roman,RTP,Scottish CP,SCP,SDLP,SEP,SF,S New,SNP,Soc Dem,Soc Lab,Song,Southport,Speaker,SPGB,SSP,TEP,Thanet,TSPP,TUSC,TUV,Ubuntu,UKIP,UKPDP,U Party,Uttlesford,UUP,Vapers,VAT,Wessex Reg,Whig,Wigan,Worth,WP,WRP,WVPTFP,Yorks,Young,Zeb
1,Aberavon,Wales,Wales,W07000049,County,2015,"49,821","31,523",,,,,,,,,,,,,,,,,,3742,,,,,,,,,,,,,,,,,,,,,,,,,,711,,,,,,,,1137,,,,,,,,15416,,1397,,,,,,,,,,,,,,,,,,,,3663,,,,,,,,,,,,,,,,,,,,,,,,,,,,352,,,,,,,,,134,,,4971,,,,,,,,,,,,,,,,
2,Aberconwy,Wales,Wales,W07000058,County,2015,"45,525","30,148",,,,,,,,,,,,,,,,,,12513,,,,,,,,,,,,,,,,,,,,,,,,,,727,,,,,,,,,,,,,,,,8514,,1391,,,,,,,,,,,,,,,,,,,,3536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3467,,,,,,,,,,,,,,,,
3,Aberdeen North,Scotland,Scotland,S14000001,Burgh,2015,"67,745","43,936",,,,,,,,,,,,,,,,,,5304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11397,2050,,,,,,,,,,,,,,,186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24793,,,,,,,,,,,206,,,,,,,,,,,,,,,,,,,
4,Aberdeen South,Scotland,Scotland,S14000002,Burgh,2015,"68,056","48,551",,,,,,,,,,,,,,,,,,11087,,,,,,,,,,,,,,,,,,,,,,,,,,964,,,,,,,,139,,,,,,,,12991,,2252,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20221,,,,,,,,,,,,,,897,,,,,,,,,,,,,,,,
5,Aberdeenshire West & Kincardine,Scotland,Scotland,S14000058,County,2015,"73,445","55,196",,,,,,,,,,,,,,,,,,15916,,,,,,,,,,,,,,,,,,,,,,,,,,885,,,,,,,,141,,,,,,,,2487,,11812,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22949,,,,,,,,,,,,,,1006,,,,,,,,,,,,,,,,
6,Airdrie & Shotts,Scotland,Scotland,S14000003,County,2015,"66,792","44,286",,,,,,,,,,,,,,,,,,3389,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,136,,,,,,,,15108,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23887,,,,,,,,,,,,,,1088,,,,,,,,,,,,,,,,
7,Aldershot,South East,England,E14000530,Borough,2015,"72,430","46,191",,,,,,,,,,,,,,,,,,23369,,,,,,,,,,,,,,,,,,,,,,,,,,2025,,,,,,,,,,,,,,,,8468,,4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8253,,,,,,,,,,,,,,,,
8,Aldridge-Brownhills,West Midlands,England,E14000531,Borough,2015,"60,215","39,497",,,,,,,,,,,,,,,,,,20558,,,,,,,,,,,,,,,,,,,,,,,,,,826,,,,,,,,,,,,,,,,8835,,1330,,,,197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7751,,,,,,,,,,,,,,,,
9,Altrincham & Sale West,North West,England,E14000532,Borough,2015,"71,511","50,517",,,,,,,,,,,,,,,,,,26771,,,,,,,,,,,,,,,,,,,,,,,,,,1983,,,,,,,,,,,,,,,,13481,,4235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4047,,,,,,,,,,,,,,,,
10,Alyn & Deeside,Wales,Wales,W07000043,County,2015,"62,016","41,314",,,,,,,,,,,,,,,,,,13197,,,,,,,,,,,,,,,,,,,,,,,,,,976,,,,,,,,,,,,,,,,16540,,1733,,,,,,,,,,,,,,,,,,,,1608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7260,,,,,,,,,,,,,,,,
