Press Association Reference,Constituency Name,Region,Election Year,Electorate,Votes,AC,AD,AGS,APNI,APP,AWL,AWP,BB,BCP,Bean,Best,BGPV,BIB,BIC,Blue,BNP,BP Elvis,C28,Cam Soc,CG,Ch M,Ch P,CIP,CITY,CNPG,Comm,Comm L,Con,Cor D,CPA,CSP,CTDP,CURE,D Lab,D Nat,DDP,DUP,ED,EIP,EPA,FAWG,FDP,FFR,Grn,GSOT,Hum,ICHC,IEAC,IFED,ILEU,Impact,Ind1,Ind2,Ind3,Ind4,Ind5,IPT,ISGB,ISQM,IUK,IVH,IZB,JAC,Joy,JP,Lab,Land,LD,Lib,Libert,LIND,LLPB,LTT,MACI,MCP,MEDI,MEP,MIF,MK,MPEA,MRLP,MRP,Nat Lib,NCDV,ND,New,NF,NFP,NICF,Nobody,NSPS,PBP,PC,Pirate,PNDP,Poet,PPBF,PPE,PPNV,Reform,Respect,Rest,RRG,RTBP,SACL,Sci,SDLP,SEP,SF,SIG,SJP,SKGP,SMA,SMRA,SNP,Soc,Soc Alt,Soc Dem,Soc Lab,South,Speaker,SSP,TF,TOC,Trust,TUSC,TUV,UCUNF,UKIP,UPS,UV,VCCA,Vote,Wessex Reg,WRP,You,Youth,YRDPL
1,Aberavon,Wales,2010,50838,30958,,,,,,,,,,558,,,,,,1276,,,,,,,,,,,,4411,,,,,,,,,,,,,,,,,,,,,,,,919,,,,,,,,,,,,,,16073,,5034,,,,,,,,,,,,,,,,,,,,,,,,,2198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,489,,,,,,,,,
2,Aberconwy,Wales,2010,44593,29966,,,,,,,,,,,,,,,,,,,,,,137,,,,,,10734,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7336,,5786,,,,,,,,,,,,,,,,,,,,,,,,,5341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,632,,,,,,,,,
3,Aberdeen North,Scotland,2010,64808,37701,,,,,,,,,,,,,,,,635,,,,,,,,,,,,4666,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,16746,,7001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8385,,,,,,,268,,,,,,,,,,,,,,,,
4,Aberdeen South,Scotland,2010,64031,43034,,,,,,,,,,,,,,,,529,,,,,,,,,,,,8914,,,,,,,,,,,,,,,,413,,,,,,,,,,,,,,,,,,,,,,15722,,12216,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,138,,,,,,,,,,5102,,,,,,,,,,,,,,,,,,,,,,,
5,Aberdeenshire West & Kincardine,Scotland,2010,66110,45195,,,,,,,,,,,,,,,,513,,,,,,,,,,,,13678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6159,,17362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7086,,,,,,,,,,,,,,397,,,,,,,,,
6,Airdrie & Shotts,Scotland,2010,62364,35849,,,,,,,,,,,,,,,,,,,,,,,,,,,,3133,,,,,,,,,,,,,,,,,,,,,,,,528,,,,,,,,,,,,,,20849,,2898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8441,,,,,,,,,,,,,,,,,,,,,,,
7,Aldershot,South East,2010,71465,45384,,,,,,,,,,,,,,,,,,,,,,231,,,,,,21203,,,,,,,,,,,803,,,,,,,,,,,,,,,,,,,,,,,,,,,5489,,15617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2041,,,,,,,,,
8,Aldridge-Brownhills,West Midlands,2010,58909,38634,,,,,,,,,,,,,,,,,,,,,,394,,,,,,22913,,,,,,,,,,,,,,,,847,,,,,,,,,,,,,,,,,,,,,,7647,,6833,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Altrincham & Sale West,North West,2010,72208,49393,,,,,,,,,,,,,,,,,,,,,,,,,,,,24176,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11073,,12581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1563,,,,,,,,,
10,Alyn & Deeside,Wales,2010,60931,39923,,,,,,,,,,,,,,,,1368,,,,,,,,,,,,12885,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15804,,7308,,,,,,,,,,,,,,,,,,,,,,,,,1549,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1009,,,,,,,,,
11,Amber Valley,East Midlands,2010,70171,45958,,,,,,,,,,,,,,,,3195,,,,,,,,,,,,17746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17210,,6636,,,,,,,,,,,,,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,906,,,,,,,,,
12,Angus,Scotland,2010,62860,37960,,,,,,,,,,,,,,,,,,,,,,,,,,,,11738,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6535,,4090,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15020,,,,,,,,,,,,,,577,,,,,,,,,
13,Antrim East,Northern Ireland,2010,60204,30502,,,,3377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2019,,2064,,,,,,,,,,,,,,,,,,1826,7223,,,,,,,,,,
14,Antrim North,Northern Ireland,2010,73338,42397,,,,1368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19672,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,606,,,,,,,,,,,,,,,,,,,,,,3738,,5265,,,,,,,,,,,,,,,,,,7114,4634,,,,,,,,,,
15,Antrim South,Northern Ireland,2010,63054,34009,,,,2607,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2955,,4729,,,,,,,,,,,,,,,,,,1829,10353,,,,,,,,,,
16,Arfon,Wales,2010,41198,26078,,,,,,,,,,,,,,,,,,,,,,,,,,,,4416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7928,,3666,,,,,,,,,,,,,,,,,,,,,,,,,9383,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,685,,,,,,,,,
17,Argyll & Bute,Scotland,2010,67165,45207,,,,,,,,,,,,,,,,,,,,,,,,,,,,10861,,,,,,,,,,,,,,,,789,,,,,,,,272,,,,,,,,,,,,,,10274,,14292,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,156,,,,8563,,,,,,,,,,,,,,,,,,,,,,,
18,Arundel & South Downs,South East,2010,76835,55982,,,,,,,,,,,,,,,,,,,,,,,,,,,,32333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4835,,15642,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3172,,,,,,,,,
19,Ashfield,East Midlands,2010,77379,48196,,,,,,,,,,,,,,,,2781,,,,,,,,,,,,10698,,,,,,,,,,1102,,,,,,,,,,,,,,396,,,,,,,,,,,,,,16239,,16047,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,933,,,,,,,,,
20,Ashford,South East,2010,81271,55185,,,,,,,,,,,,,,,,,,,,,,,,,,,,29878,,,,,,,,,,,,,,,,1014,,,,,,,,,,,,,,,,,,,,,,9204,,12581,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2508,,,,,,,,,
21,Ashton Under Lyne,North West,2010,67714,38432,,,,,,,,,,,,,,,,2929,,,,,,,,,,,,9510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,18604,,5703,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1686,,,,,,,,,
22,Aylesbury,South East,2010,77844,53162,,,,,,,,,,,,,,,,,,,,,,,,,,,,27736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6695,,15118,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3613,,,,,,,,,
23,"Ayr, Carrick & Cumnock",Scotland,2010,73320,45893,,,,,,,,,,,,,,,,,,,,,,,,,,,,11721,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21632,,4264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8276,,,,,,,,,,,,,,,,,,,,,,,
24,Ayrshire Central,Scotland,2010,68352,43915,,,,,,,,,,,,,,,,,,,,,,,,,,,,8943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20950,,5236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8364,,,,422,,,,,,,,,,,,,,,,,,,
25,Ayrshire North & Arran,Scotland,2010,74223,46116,,,,,,,,,,,,,,,,,,,,,,,,,,,,7212,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21860,,4630,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11965,,,,449,,,,,,,,,,,,,,,,,,,
26,Banbury,South East,2010,84379,56241,,,,,,,,,,,,,,,,,,,,,,,,,,,,29703,,,,,,,,,,,,,,,,959,,,,,,,,524,,,,,,,,,,,,,,10773,,11476,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2806,,,,,,,,,
27,Banff & Buchan,Scotland,2010,64300,38466,,,,,,,,,,,,,,,,1010,,,,,,,,,,,,11841,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5382,,4365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15868,,,,,,,,,,,,,,,,,,,,,,,
28,Barking,London,2010,73868,45343,,,,,,,,,,,,,,,,6620,,,,,,482,,,,,,8073,,,,,,,,,,,,,,,,317,,,,,,,,77,,,,,,,,,,,,,,24628,,3719,,,,,,,,,,,,,82,,,,,,,,,,,,,,,,,,,,,45,,,,,,,,,,,,,,,,,,,,,,,,,,,1300,,,,,,,,,
29,Barnsley Central,Yorkshire and the Humber,2010,65543,37001,,,,,,,,,,,,,,,,3307,,,,,,,,,,,,6388,,,,,,,,,,,,,,,,,,,,,,,,732,610,,,,,,,,,,,,,17487,,6394,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,356,,,,,,,,,,1727,,,,,,,,,
30,Barnsley East,Yorkshire and the Humber,2010,68435,38386,,,,,,,,,,,,,,,,3301,,,,,,,,,,,,6329,,,,,,,,,,,,,,,,,,,,,,,,712,684,,,,,,,,,,,,,18059,,6969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,601,,,,,,,,,,1731,,,,,,,,,
31,Barrow & Furness,North West,2010,68943,44124,,,,,,,,,,,,,,,,840,,,,,,,,,,,,16018,,,,,,,,,,,,,,,,530,,,,,,,,245,,,,,,,,,,,,,,21226,,4424,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,841,,,,,,,,,
32,Basildon & Billericay,Eastern,2010,65515,41569,,,,,,,,,,,,,,,,1934,,,,,,,,,,,,21922,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9584,,6538,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1591,,,,,,,,,
33,Basildon South & Thurrock East,Eastern,2010,71874,44735,,,,,,,,,,,,,,,,2518,,,,,,,,,,,,19624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13852,,5977,,,,,,,,,,,,,,,,,125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2639,,,,,,,,,
